"Gender" "Race" "Hisp" "Age" "Relate"
"1" "1" "1" "21" "3"
"2" "5" "1" "64" "2"
"1" "1" "1" "22" "3"
"2" "1" "1" "2" "8"
"2" "1" "1" "5" "3"
"1" "2" "1" "2" "3"
"2" "2" "1" "3" "11"
"1" "1" "1" "36" "12"
"2" "1" "1" "84" "2"
"1" "1" "1" "5" "3"
"2" "3" "1" "1" "3"
"2" "1" "1" "77" "2"
"1" "1" "1" "45" "2"
"2" "6" "1" "69" "2"
"1" "1" "1" "47" "9"
"2" "1" "1" "28" "2"
"1" "1" "3" "3" "3"
"1" "1" "1" "6" "3"
"1" "1" "1" "36" "2"
"2" "1" "1" "57" "2"
"1" "1" "1" "22" "2"
"2" "4" "1" "87" "12"
"1" "1" "1" "23" "2"
"1" "1" "1" "20" "2"
"1" "1" "1" "22" "10"
"2" "1" "1" "2" "3"
"2" "1" "1" "59" "2"
"1" "1" "1" "24" "3"
"2" "2" "1" "21" "6"
"2" "2" "1" "34" "6"
"2" "1" "1" "59" "2"
"2" "1" "1" "58" "3"
"2" "1" "1" "69" "2"
"1" "2" "1" "24" "2"
"2" "8" "1" "32" "2"
"2" "1" "1" "55" "13"
"2" "1" "1" "61" "12"
"2" "1" "1" "63" "2"
"1" "1" "1" "16" "3"
"1" "1" "1" "8" "3"
"2" "1" "1" "79" "2"
"2" "1" "1" "34" "2"
"2" "1" "1" "24" "7"
"2" "1" "1" "17" "2"
"1" "1" "1" "44" "12"
"2" "1" "1" "32" "6"
"1" "1" "1" "12" "3"
"2" "1" "1" "7" "3"
"2" "1" "1" "80" "2"
"2" "1" "1" "75" "2"
"1" "1" "1" "18" "8"
"2" "1" "1" "45" "2"
"1" "1" "1" "26" "3"
"2" "1" "1" "65" "2"
"1" "1" "2" "57" "2"
"2" "1" "2" "14" "3"
"2" "1" "2" "23" "3"
"2" "1" "3" "60" "2"
"1" "1" "1" "45" "3"
"2" "1" "1" "73" "2"
"1" "1" "1" "49" "12"
"2" "2" "1" "49" "11"
"2" "1" "1" "93" "2"
"2" "1" "1" "48" "2"
"1" "1" "1" "28" "3"
"2" "1" "1" "23" "3"
"1" "1" "1" "2" "3"
"1" "1" "1" "6" "3"
"1" "1" "1" "12" "3"
"2" "1" "1" "71" "2"
"2" "1" "1" "54" "2"
"1" "1" "1" "2" "3"
"1" "1" "1" "40" "2"
"1" "1" "1" "15" "3"
"2" "1" "2" "7" "3"
"1" "4" "2" "12" "6"
"2" "1" "1" "5" "3"
"2" "7" "5" "22" "3"
"2" "7" "5" "5" "3"
"1" "2" "1" "17" "2"
"1" "1" "1" "57" "2"
"2" "1" "1" "72" "2"
"2" "1" "1" "42" "3"
"1" "6" "1" "5" "8"
"1" "1" "1" "22" "2"
"1" "1" "1" "44" "2"
"2" "6" "1" "66" "2"
"2" "1" "1" "24" "2"
"1" "1" "1" "12" "3"
"1" "1" "1" "8" "3"
"2" "1" "5" "23" "3"
"2" "1" "1" "22" "3"
"2" "1" "1" "20" "3"
"2" "1" "1" "26" "2"
"1" "1" "1" "91" "2"
"2" "2" "1" "10" "10"
"2" "2" "1" "31" "13"
"1" "2" "1" "7" "8"
"2" "1" "1" "94" "10"
"2" "1" "1" "11" "3"
"1" "1" "1" "65" "2"
"2" "1" "1" "63" "2"
"1" "1" "1" "28" "2"
"1" "1" "1" "23" "2"
"2" "1" "1" "54" "6"
"1" "1" "1" "23" "2"
"2" "1" "1" "2" "3"
"2" "1" "1" "25" "2"
"1" "1" "1" "8" "3"
"2" "1" "1" "22" "3"
"2" "1" "1" "26" "5"
"1" "1" "2" "84" "2"
"1" "6" "1" "21" "3"
"2" "1" "1" "75" "2"
"1" "1" "1" "10" "3"
"1" "1" "1" "2" "3"
"1" "1" "1" "66" "2"
"2" "2" "1" "56" "2"
"2" "2" "1" "54" "6"
"1" "6" "1" "28" "3"
"2" "6" "1" "76" "6"
"1" "6" "1" "8" "3"
"2" "1" "1" "56" "2"
"1" "2" "1" "60" "2"
"1" "1" "1" "68" "11"
"2" "1" "1" "57" "2"
"1" "1" "1" "14" "3"
"1" "1" "1" "24" "6"
"2" "1" "1" "26" "12"
"2" "1" "1" "71" "10"
"2" "1" "1" "54" "2"
"2" "1" "1" "20" "3"
"2" "1" "1" "1" "8"
"1" "2" "1" "57" "2"
"2" "1" "1" "28" "2"
"1" "1" "1" "16" "3"
"1" "1" "1" "19" "3"
"1" "1" "1" "18" "13"
"2" "1" "1" "21" "12"
"1" "1" "1" "5" "3"
"2" "6" "1" "75" "2"
"1" "1" "2" "1" "3"
"1" "1" "1" "6" "3"
"2" "1" "1" "64" "2"
"1" "1" "1" "5" "3"
"1" "1" "1" "16" "3"
"2" "1" "1" "58" "2"
"2" "1" "1" "72" "2"
"2" "1" "1" "23" "3"
"1" "1" "1" "22" "2"
"2" "1" "1" "91" "11"
"2" "1" "5" "54" "2"
"1" "1" "2" "2" "3"
"2" "1" "4" "54" "2"
"2" "1" "1" "22" "2"
"1" "8" "1" "20" "3"
"1" "1" "1" "28" "3"
"2" "1" "1" "16" "2"
"1" "1" "1" "88" "12"
"2" "1" "1" "91" "12"
"2" "1" "1" "34" "8"
"2" "1" "1" "8" "3"
"2" "1" "1" "23" "3"
"1" "8" "1" "3" "3"
"2" "6" "1" "54" "11"
"2" "2" "1" "2" "3"
"2" "2" "1" "45" "2"
