"Gender" "Race" "Hisp" "Age" "Relate"
"2" "1" "1" "57" "2"
"1" "1" "1" "39" "3"
"1" "1" "1" "7" "3"
"2" "1" "1" "26" "3"
"1" "1" "1" "25" "13"
"2" "5" "1" "37" "2"
"1" "5" "1" "7" "3"
"2" "5" "1" "1" "3"
"1" "1" "1" "72" "12"
"2" "1" "1" "14" "3"
"2" "1" "1" "30" "2"
"1" "1" "1" "5" "3"
"2" "1" "1" "78" "2"
"1" "1" "2" "44" "12"
"1" "1" "1" "44" "2"
"2" "1" "1" "65" "2"
"1" "1" "1" "29" "5"
"2" "1" "1" "70" "2"
"1" "1" "1" "68" "2"
"2" "1" "1" "26" "12"
"2" "1" "1" "26" "12"
"1" "1" "1" "18" "13"
"1" "1" "1" "35" "2"
"1" "1" "1" "65" "2"
"1" "1" "1" "25" "3"
"1" "1" "1" "37" "2"
"1" "1" "1" "34" "2"
"2" "1" "1" "46" "2"
"1" "1" "1" "49" "13"
"1" "1" "1" "73" "2"
"1" "1" "1" "21" "2"
"1" "2" "1" "66" "2"
"1" "1" "1" "58" "2"
"1" "1" "1" "91" "10"
"1" "1" "1" "40" "12"
"1" "1" "1" "33" "2"
"1" "2" "1" "70" "7"
"1" "2" "1" "16" "6"
"2" "2" "1" "68" "2"
"2" "1" "1" "49" "2"
"2" "1" "1" "66" "2"
"1" "1" "1" "36" "2"
"1" "1" "1" "14" "3"
"1" "1" "1" "5" "3"
"2" "1" "1" "23" "2"
"2" "1" "1" "44" "2"
"1" "1" "1" "16" "5"
"1" "1" "1" "14" "5"
"1" "1" "1" "66" "2"
"1" "1" "1" "27" "2"
"1" "4" "1" "63" "7"
"1" "2" "1" "51" "2"
"1" "1" "1" "19" "2"
"1" "1" "1" "44" "2"
"1" "1" "1" "16" "3"
"1" "1" "1" "28" "4"
"2" "1" "1" "59" "2"
"2" "8" "1" "1" "3"
"2" "6" "1" "31" "12"
"1" "6" "1" "11" "3"
"2" "6" "1" "33" "2"
"1" "6" "1" "7" "3"
"1" "6" "1" "1" "3"
"1" "1" "1" "45" "2"
"2" "7" "5" "41" "3"
"1" "6" "1" "88" "13"
"1" "6" "1" "16" "3"
"1" "1" "5" "30" "2"
"2" "1" "1" "63" "2"
"1" "1" "1" "33" "3"
"1" "1" "1" "64" "13"
"2" "1" "1" "25" "3"
"1" "1" "1" "18" "12"
"1" "8" "1" "41" "3"
"1" "8" "1" "8" "3"
"1" "1" "1" "44" "2"
"2" "1" "1" "27" "12"
"2" "1" "1" "33" "12"
"2" "1" "1" "48" "12"
